week,week_end,빌드성공률(%),주간 빌드 수,평균 빌드시간(분),실패 후 24시간 초과 방치 건수,비고
1,2026-01-09,74.5,221,13.7,1,
2,2026-01-16,75.1,191,11.5,2,
3,2026-01-23,75.7,205,12.6,0,
4,2026-01-30,76.2,236,14.8,2,
5,2026-02-06,76.8,226,15.8,2,
6,2026-02-13,77.3,193,14.0,1,
7,2026-02-20,77.8,202,15.9,1,
8,2026-02-27,78.4,231,13.4,2,
9,2026-03-06,79.0,193,15.5,2,
10,2026-03-13,79.5,200,15.6,1,
11,2026-03-20,80.0,218,13.3,0,
12,2026-03-27,80.6,258,14.3,1,
13,2026-04-03,81.2,207,12.3,1,
14,2026-04-10,81.7,184,11.7,1,
15,2026-04-17,82.2,233,11.7,1,
16,2026-04-24,82.8,238,14.6,1,
17,2026-05-01,83.3,209,15.4,2,
18,2026-05-08,83.9,203,13.2,2,
19,2026-05-15,84.5,227,15.6,0,
20,2026-05-22,85.0,220,15.0,0,
21,2026-05-29,85.5,192,15.2,0,
22,2026-06-05,86.1,230,13.1,0,
23,2026-06-12,86.7,240,11.9,2,
24,2026-06-19,87.2,243,12.5,0,
25,2026-06-26,87.8,209,16.0,0,
26,2026-07-03,88.3,213,12.4,2,
27,2026-07-10,88.8,220,15.4,2,
28,2026-07-17,89.0,233,14.6,1,
29,2026-07-24,89.0,181,14.3,0,
30,2026-07-31,89.0,180,14.7,2,
31,2026-08-07,89.0,209,11.9,2,
32,2026-08-14,89.0,242,15.7,2,
33,2026-08-21,89.0,241,11.8,2,
