cr_id,변경내용,요청자,요청일,기록경로,처리결과,승인체계,영향평가,비고
CR-001,잔반처리봇·실외 배송봇 기종 추가,PO,2026-05-11,정식 CR 등록,승인,CRB,"일정 +0, 인력 +1MM",baseline 6종 미갱신
CR-002,이벤트 스키마 v2 전환,Data,2026-03-18,정식 CR 등록,승인,CRB,일정 +0,
CR-003,미국 리전 지도 좌표계 지원 확대,US Lead,2026-04-02,정식 CR 등록,승인,CRB,일정 +2주,baseline 미갱신
CR-004,원격 조작(Teleop) 스트리밍 도입,자율주행,2026-04-20,정식 CR 등록,승인,CRB,-,
CR-005,도메인 적응 재학습 2차 실시,자율주행,2026-06-08,정식 CR 등록,승인,CRB,AI 인프라 예산 +3억 요청,예산 반영 안 됨
CR-006,시뮬레이션 씬 재생성,자율주행,2026-06-22,정식 CR 등록,승인,CRB,AI 인프라 예산 +2억 요청,예산 반영 안 됨
CR-007,접근성 요구 추가(스크린리더),관제UX,2026-02-16,정식 CR 등록,승인,CRB,-,
CR-008,주행 로그 보존기간 90→180일,안전/보안,2026-05-25,정식 CR 등록,승인,CRB,스토리지 비용 +,
CR-009,A/B 실험 프레임 도입,Data,2026-05-04,정식 CR 등록,승인,CRB,-,
CR-010,주행 영상 국외이전 방식 변경,안전/보안,2026-07-24,정식 CR 등록,검토중,CRB,미정,회신 없음 / 해당 REQ Blocked 원인
CR-011,자율주행 평가 코스 120개 시나리오 확정,자율주행,2026-02-02,정식 CR 등록,승인,CRB,-,실사업장 미학습 상황 미포함
CR-012,DoD 정의 v2 적용,PM,2026-04-24,정식 CR 등록,승인,회고 합의,-,★'QA 테스트 통과' 조건 삭제
(없음),안내봇 음성 캐릭터 3종 추가,관제UX,2026-03-12,회의록에만 기재,실행됨,없음,미평가,변경요청서 미작성 / baseline·일정·예산 영향 미평가
(없음),임무 리포트 PDF 내보내기,PO,2026-03-19,회의록에만 기재,실행됨,없음,미평가,변경요청서 미작성 / baseline·일정·예산 영향 미평가
(없음),사업장 관리자 초대 링크,자율주행,2026-03-26,회의록에만 기재,실행됨,없음,미평가,변경요청서 미작성 / baseline·일정·예산 영향 미평가
(없음),주행 이력 검색,관제UX,2026-04-02,회의록에만 기재,실행됨,없음,미평가,변경요청서 미작성 / baseline·일정·예산 영향 미평가
(없음),청소봇 습도 연동 제어,관제UX,2026-04-09,회의록에만 기재,실행됨,없음,미평가,변경요청서 미작성 / baseline·일정·예산 영향 미평가
(없음),안내봇 커스텀 웨이크워드,US Lead,2026-04-16,회의록에만 기재,실행됨,없음,미평가,변경요청서 미작성 / baseline·일정·예산 영향 미평가
(없음),임무 추천 사유 설명 생성,관제UX,2026-04-23,회의록에만 기재,실행됨,없음,미평가,변경요청서 미작성 / baseline·일정·예산 영향 미평가
(없음),주간 가동률 랭킹,관제UX,2026-04-30,회의록에만 기재,실행됨,없음,미평가,변경요청서 미작성 / baseline·일정·예산 영향 미평가
(없음),온보딩 스킵 방지 리마인더,PO,2026-05-07,회의록에만 기재,실행됨,없음,미평가,변경요청서 미작성 / baseline·일정·예산 영향 미평가
(없음),대시보드 위젯 커스터마이즈,US Lead,2026-05-14,회의록에만 기재,실행됨,없음,미평가,변경요청서 미작성 / baseline·일정·예산 영향 미평가
(없음),실시간 가동 스트림,관제UX,2026-05-21,회의록에만 기재,실행됨,없음,미평가,변경요청서 미작성 / baseline·일정·예산 영향 미평가
(없음),주행 정책 A/B 실험 3안,관제UX,2026-05-28,회의록에만 기재,실행됨,없음,미평가,변경요청서 미작성 / baseline·일정·예산 영향 미평가
(없음),관리자용 주행 모니터 화면,관제UX,2026-06-04,회의록에만 기재,실행됨,없음,미평가,변경요청서 미작성 / baseline·일정·예산 영향 미평가
(없음),사업장 피드백 이모지 수집,마케팅,2026-06-11,회의록에만 기재,실행됨,없음,미평가,변경요청서 미작성 / baseline·일정·예산 영향 미평가
(없음),법무 검토용 로그 추출기,마케팅,2026-06-18,회의록에만 기재,실행됨,없음,미평가,변경요청서 미작성 / baseline·일정·예산 영향 미평가
(없음),관제 음성 안내 속도 조절,마케팅,2026-06-25,회의록에만 기재,실행됨,없음,미평가,변경요청서 미작성 / baseline·일정·예산 영향 미평가
(없음),미국 리전 지도 좌표계 별도 튜닝,자율주행,2026-07-02,회의록에만 기재,실행됨,없음,미평가,변경요청서 미작성 / baseline·일정·예산 영향 미평가
(없음),인도 리전 레이턴시 최적화,자율주행,2026-07-09,회의록에만 기재,실행됨,없음,미평가,변경요청서 미작성 / baseline·일정·예산 영향 미평가
(없음),원격 조작 재시도 버튼,관제UX,2026-07-16,회의록에만 기재,실행됨,없음,미평가,변경요청서 미작성 / baseline·일정·예산 영향 미평가
(없음),미학습 상황 폴백 정책 변경,관제UX,2026-07-23,회의록에만 기재,실행됨,없음,미평가,변경요청서 미작성 / baseline·일정·예산 영향 미평가
(없음),온보딩 투어 2단계 축소,PO,2026-07-30,회의록에만 기재,실행됨,없음,미평가,변경요청서 미작성 / baseline·일정·예산 영향 미평가
(없음),관제 대시보드 홈 요약 위젯,자율주행,2026-04-11,메신저 구두 승인,실행됨,없음,미평가,승인 근거가 메신저 대화뿐 / 승인권자 확인 불가
(없음),경쟁사 대응 데모 시나리오 12종,서지환(스폰서),2026-04-20,메신저 구두 승인,실행됨,없음,미평가,승인 근거가 메신저 대화뿐 / 승인권자 확인 불가
(없음),임무 카드 애니메이션 고도화,마케팅실장,2026-04-29,메신저 구두 승인,실행됨,없음,미평가,승인 근거가 메신저 대화뿐 / 승인권자 확인 불가
(없음),카메라 프레임 전량 클라우드 업로드,PO,2026-05-08,메신저 구두 승인,실행됨,없음,미평가,승인 근거가 메신저 대화뿐 / 승인권자 확인 불가
(없음),다크모드 색상 전면 교체,PO,2026-05-17,메신저 구두 승인,실행됨,없음,미평가,승인 근거가 메신저 대화뿐 / 승인권자 확인 불가
(없음),알림 센터 2종 추가,자율주행,2026-05-26,메신저 구두 승인,실행됨,없음,미평가,승인 근거가 메신저 대화뿐 / 승인권자 확인 불가
(없음),튜토리얼 재진입 동선 변경,마케팅실장,2026-06-04,메신저 구두 승인,실행됨,없음,미평가,승인 근거가 메신저 대화뿐 / 승인권자 확인 불가
(없음),이상 상태 화면 문구 전면 수정,PO,2026-06-13,메신저 구두 승인,실행됨,없음,미평가,승인 근거가 메신저 대화뿐 / 승인권자 확인 불가
(없음),임무 재배정 로직 변경,서지환(스폰서),2026-06-22,메신저 구두 승인,실행됨,없음,미평가,승인 근거가 메신저 대화뿐 / 승인권자 확인 불가
(없음),엣지 추론 캐시 레이어 도입 후순위 결정,자율주행,2026-07-01,메신저 구두 승인,실행됨,없음,미평가,승인 근거가 메신저 대화뿐 / 승인권자 확인 불가
(없음),회귀 시뮬레이션 주기 주1회→격주,PO,2026-07-10,메신저 구두 승인,실행됨,없음,미평가,승인 근거가 메신저 대화뿐 / 승인권자 확인 불가
(없음),비용 알림 임계치 상향,마케팅실장,2026-07-19,메신저 구두 승인,실행됨,없음,미평가,승인 근거가 메신저 대화뿐 / 승인권자 확인 불가
(없음),OTA 배포 단계 축소,PO,2026-07-28,메신저 구두 승인,실행됨,없음,미평가,승인 근거가 메신저 대화뿐 / 승인권자 확인 불가
(없음),클라우드 VLM 최고 티어 단일 고정,PO,2026-08-06,메신저 구두 승인,실행됨,없음,미평가,승인 근거가 메신저 대화뿐 / 승인권자 확인 불가
