report_id,week,발행일,생성방식,요구사항 완료율,일정,원가,품질,Open High Risk,종합판정,집계기준(DoD),사람검토자,검토서명일,본문요약
WR-18,18,2026-05-08,자동 생성 (Jira 상태 집계),52/84 (61.9%),GREEN,GREEN,GREEN,0건,GREEN,v2,,,요약: 전 지표 정상. 특이사항 없음. 9/30 상용 배포 계획 대비 이상 없음.
WR-19,19,2026-05-15,자동 생성 (Jira 상태 집계),54/84 (64.3%),GREEN,GREEN,GREEN,0건,GREEN,v2,,,요약: 전 지표 정상. 특이사항 없음. 9/30 상용 배포 계획 대비 이상 없음.
WR-20,20,2026-05-22,자동 생성 (Jira 상태 집계),55/84 (65.5%),GREEN,GREEN,GREEN,0건,GREEN,v2,,,요약: 전 지표 정상. 특이사항 없음. 9/30 상용 배포 계획 대비 이상 없음.
WR-21,21,2026-05-29,자동 생성 (Jira 상태 집계),57/84 (67.9%),GREEN,GREEN,GREEN,0건,GREEN,v2,,,요약: 전 지표 정상. 특이사항 없음. 9/30 상용 배포 계획 대비 이상 없음.
WR-22,22,2026-06-05,자동 생성 (Jira 상태 집계),59/84 (70.2%),GREEN,GREEN,GREEN,0건,GREEN,v2,,,요약: 전 지표 정상. 특이사항 없음. 9/30 상용 배포 계획 대비 이상 없음.
WR-23,23,2026-06-12,자동 생성 (Jira 상태 집계),61/84 (72.6%),GREEN,GREEN,GREEN,0건,GREEN,v2,,,요약: 전 지표 정상. 특이사항 없음. 9/30 상용 배포 계획 대비 이상 없음.
WR-24,24,2026-06-19,자동 생성 (Jira 상태 집계),62/84 (73.8%),GREEN,GREEN,GREEN,0건,GREEN,v2,,,요약: 전 지표 정상. 특이사항 없음. 9/30 상용 배포 계획 대비 이상 없음.
WR-25,25,2026-06-26,자동 생성 (Jira 상태 집계),64/84 (76.2%),GREEN,GREEN,GREEN,0건,GREEN,v2,,,요약: 전 지표 정상. 특이사항 없음. 9/30 상용 배포 계획 대비 이상 없음.
WR-26,26,2026-07-03,자동 생성 (Jira 상태 집계),66/84 (78.6%),GREEN,GREEN,GREEN,0건,GREEN,v2,,,요약: 전 지표 정상. 특이사항 없음. 9/30 상용 배포 계획 대비 이상 없음.
WR-27,27,2026-07-10,자동 생성 (Jira 상태 집계),68/84 (81.0%),GREEN,GREEN,GREEN,0건,GREEN,v2,,,요약: 전 지표 정상. 특이사항 없음. 9/30 상용 배포 계획 대비 이상 없음.
WR-28,28,2026-07-17,자동 생성 (Jira 상태 집계),69/84 (82.1%),GREEN,GREEN,GREEN,0건,GREEN,v2,,,요약: 전 지표 정상. 특이사항 없음. 9/30 상용 배포 계획 대비 이상 없음.
WR-29,29,2026-07-24,자동 생성 (Jira 상태 집계),71/84 (84.5%),GREEN,GREEN,GREEN,0건,GREEN,v2,,,요약: 전 지표 정상. 특이사항 없음. 9/30 상용 배포 계획 대비 이상 없음.
WR-30,30,2026-07-31,자동 생성 (Jira 상태 집계),73/84 (86.9%),GREEN,GREEN,GREEN,0건,GREEN,v2,,,요약: 전 지표 정상. 특이사항 없음. 9/30 상용 배포 계획 대비 이상 없음.
WR-31,31,2026-08-07,자동 생성 (Jira 상태 집계),75/84 (89.3%),GREEN,GREEN,GREEN,0건,GREEN,v2,,,요약: 전 지표 정상. 특이사항 없음. 9/30 상용 배포 계획 대비 이상 없음.
WR-32,32,2026-08-14,자동 생성 (Jira 상태 집계),76/84 (90.5%),GREEN,GREEN,GREEN,0건,GREEN,v2,,,요약: 전 지표 정상. 특이사항 없음. 9/30 상용 배포 계획 대비 이상 없음.
WR-33,33,2026-08-21,자동 생성 (Jira 상태 집계),78/84 (92.9%),GREEN,GREEN,GREEN,0건,GREEN,v2,,,요약: 전 지표 정상. 특이사항 없음. 9/30 상용 배포 계획 대비 이상 없음.
