구분,지표,목표/기준,실적,판정,출처,비고
인력,계획 대비 충원율,100%,100% (96/96명),정상,인사시스템 2026-08-01,
인력,프로젝트 중 이탈자,<= 5명,2명,정상,인사시스템,정상 범위
인력,월평균 초과근무,<= 16시간,8.2시간,정상,근태시스템 7월,사내 평균 11.4시간
인력,팀 만족도 서베이,>= 3.5/5,3.9/5,정상,2026-07-31 서베이(응답 88%),
인력,번아웃 위험군 비율,<= 15%,7%,정상,2026-07-31 서베이,
장비,시뮬레이션 GPU 가동률,<= 85%,61%,정상,MLOps 대시보드,여유 있음
장비,테스트 로봇 확보율,100%,100% (기종별 4대 이상),정상,자산관리,
일정,G1 Scope Freeze,2026-01-19,2026-01-19 통과,정상,게이트 기록,정시
일정,G2 Design/Safety Freeze,2026-03-20,2026-03-20 통과,정상,게이트 기록,정시
일정,G3 Alpha,2026-05-29,2026-05-29 조건부 통과,주의,게이트 기록,조건 3건 명시 / 해소 추적 기록 없음
일정,G4 Pilot,2026-07-10,2026-07-10 통과,정상,게이트 기록,정시
일정,G5 상용 배포,2026-09-30,예정,-,-,
일정,스프린트 커밋 달성률(S1~S16 평균),>= 80%,87%,정상,Jira,
