week,week_end,PV_dev,EV_dev,AC_dev,SPI_dev(보고값),CPI_dev(보고값),PV_ai,EV_ai,AC_ai,CPI_ai,PV_ext,EV_ext,AC_ext,PV_total,EV_total,AC_total,SPI_total,CPI_total,비고
1,2026-01-09,177.3,194.0,205.0,1.094,0.946,51.5,51.5,3.3,15.606,30.6,30.6,30.6,259.4,276.1,238.9,1.064,1.156,
2,2026-01-16,367.2,396.2,415.7,1.079,0.953,103.0,103.0,12.0,8.583,61.2,61.2,61.2,531.4,560.4,488.9,1.055,1.146,
3,2026-01-23,562.0,601.5,628.7,1.07,0.957,154.5,154.5,25.3,6.107,91.8,91.8,91.8,808.3,847.8,745.8,1.049,1.137,
4,2026-01-30,760.2,809.0,843.1,1.064,0.96,206.1,206.1,43.1,4.782,122.4,122.4,122.4,1088.7,1137.5,1008.6,1.045,1.128,
5,2026-02-06,961.0,1018.0,1058.5,1.059,0.962,257.6,257.6,65.2,3.951,153.0,153.0,153.0,1371.6,1428.6,1276.7,1.042,1.119,
6,2026-02-13,1163.7,1228.3,1274.9,1.056,0.963,309.1,309.1,91.4,3.382,183.6,183.6,183.6,1656.4,1721.0,1549.9,1.039,1.11,
7,2026-02-20,1368.2,1439.6,1491.9,1.052,0.965,360.6,360.6,121.5,2.968,214.2,214.2,214.2,1943.0,2014.4,1827.6,1.037,1.102,
8,2026-02-27,1574.1,1651.9,1709.6,1.049,0.966,412.1,412.1,155.6,2.648,244.8,244.8,244.8,2231.0,2308.8,2110.0,1.035,1.094,
9,2026-03-06,1781.3,1865.0,1927.9,1.047,0.967,463.6,463.6,193.4,2.397,275.5,275.5,275.5,2520.4,2604.1,2396.8,1.033,1.086,
10,2026-03-13,1989.7,2078.7,2146.6,1.045,0.968,515.2,515.2,235.1,2.191,306.1,306.1,306.1,2811.0,2900.0,2687.8,1.032,1.079,
11,2026-03-20,2199.2,2293.2,2365.8,1.043,0.969,566.7,566.7,280.4,2.021,336.7,336.7,336.7,3102.6,3196.6,2982.9,1.03,1.072,
12,2026-03-27,2409.5,2508.2,2585.3,1.041,0.97,618.2,618.2,329.3,1.877,367.3,367.3,367.3,3395.0,3493.7,3281.9,1.029,1.065,
13,2026-04-03,2620.8,2723.7,2805.3,1.039,0.971,669.7,669.7,381.9,1.754,397.9,397.9,397.9,3688.4,3791.3,3585.1,1.028,1.058,
14,2026-04-10,2832.9,2939.8,3025.5,1.038,0.972,721.2,721.2,438.0,1.647,428.5,428.5,428.5,3982.6,4089.5,3892.0,1.027,1.051,
15,2026-04-17,3045.7,3156.3,3246.1,1.036,0.972,772.7,772.7,497.7,1.553,459.1,459.1,459.1,4277.5,4388.1,4202.9,1.026,1.044,
16,2026-04-24,3259.3,3373.2,3467.0,1.035,0.973,824.2,824.2,560.8,1.47,489.7,489.7,489.7,4573.2,4687.1,4517.5,1.025,1.038,
17,2026-05-01,3473.5,3590.6,3688.2,1.034,0.974,875.8,875.8,627.3,1.396,520.3,520.3,520.3,4869.6,4986.7,4835.8,1.024,1.031,
18,2026-05-08,3688.3,3808.3,3909.6,1.033,0.974,927.3,927.3,697.3,1.33,550.9,550.9,550.9,5166.5,5286.5,5157.8,1.023,1.025,개발 부문만 주간보고에 게시
19,2026-05-15,3903.8,4026.4,4131.3,1.031,0.975,978.8,978.8,770.6,1.27,581.5,581.5,581.5,5464.1,5586.7,5483.4,1.022,1.019,개발 부문만 주간보고에 게시
20,2026-05-22,4119.8,4244.8,4353.2,1.03,0.975,1030.3,1030.3,847.4,1.216,612.1,612.1,612.1,5762.2,5887.2,5812.7,1.022,1.013,개발 부문만 주간보고에 게시
21,2026-05-29,4336.3,4463.6,4575.3,1.029,0.976,1081.8,1081.8,927.4,1.166,642.7,642.7,642.7,6060.8,6188.1,6145.4,1.021,1.007,개발 부문만 주간보고에 게시
22,2026-06-05,4553.4,4682.7,4797.6,1.028,0.976,1133.3,1133.3,1010.8,1.121,673.3,673.3,673.3,6360.0,6489.3,6481.7,1.02,1.001,개발 부문만 주간보고에 게시
23,2026-06-12,4771.0,4902.1,5020.1,1.027,0.976,1184.8,1184.8,1097.4,1.08,703.9,703.9,703.9,6659.7,6790.8,6821.4,1.02,0.996,개발 부문만 주간보고에 게시
