업무/산출물,R(실행),A(최종책임),C(자문),I(정보공유),비고
요구사항 구현,각 리드,한도경(PM),노유진(PO),서지환(스폰서),
일정·게이트 관리,한도경(PM),한도경(PM),PMO,스폰서,
개발 예산 집행,한도경(PM),서지환(스폰서),재무,PMO,
AI 인프라(시뮬레이션·추론) 예산 집행,임태오(자율주행),(공란),(공란),(공란),★최종책임 미지정
편익 정의(Define),노유진(PO),서지환(스폰서),사업기획,PM,Business Case 작성 시 1회
편익 측정 계획(Plan),(공란),(공란),(공란),(공란),★미수행
편익 추적(Track),(공란),(공란),(공란),(공란),★미수행
편익 유지(Sustain),(공란),(공란),(공란),(공란),★미수행
파일럿 플릿 텔레메트리 분석,오시윤(Data),오시윤(Data),-,각 리드,★배포 대상에 PM·PO·스폰서 미포함
주간 상태보고 작성,AI 자동 생성 봇,(공란),-,전원,★사람 검토·승인자 미지정
리스크 관리대장 갱신,한도경(PM),한도경(PM),각 리드,스폰서,최종 갱신 2026-04-11
변경 통제(CRB),PMO,한도경(PM),각 리드,스폰서,CR 미등록 35건 존재
안전 인증(ISO 13482)·규제 대응,윤채원(안전/보안),윤채원(안전/보안),법무실·인증기관,PM,
파트너 계약·SLA,남기웅(구매),남기웅(구매),법무,PM,Helion Robotics 수의계약
