req_id,epic_id,epic,요구사항명,status,owner,DoD,linked_benefit_id,baseline,비고
REQ-001,EP-01,자율주행 / 내비게이션,SLAM 지도 생성,Done,임태오(자율주행),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-002,EP-01,자율주행 / 내비게이션,실시간 위치 추정,Done,임태오(자율주행),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-003,EP-01,자율주행 / 내비게이션,동적 장애물 회피,Done,임태오(자율주행),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-004,EP-01,자율주행 / 내비게이션,미학습 상황 안전정지·폴백,In Dev,임태오(자율주행),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),한국/미국 구현 방침 상이 — 결정로그 DEC-07 참조. 안전 관련 동작
REQ-005,EP-01,자율주행 / 내비게이션,다층 이동(엘리베이터 연동),Done,임태오(자율주행),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-006,EP-01,자율주행 / 내비게이션,경로 재계획,Done,임태오(자율주행),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-007,EP-01,자율주행 / 내비게이션,혼잡 구역 속도 제어,Done,임태오(자율주행),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-008,EP-01,자율주행 / 내비게이션,센서 융합 전처리,Done,임태오(자율주행),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-009,EP-01,자율주행 / 내비게이션,도킹·충전 복귀,Done,임태오(자율주행),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-010,EP-01,자율주행 / 내비게이션,유리·반사면 인식 보정,Done,임태오(자율주행),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-011,EP-01,자율주행 / 내비게이션,낙하·단차 감지,Done,임태오(자율주행),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-012,EP-01,자율주행 / 내비게이션,주행 로그 수집,Done,임태오(자율주행),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-013,EP-02,로봇 기종 제어 연동,서빙봇 트레이 제어,Done,배가온(로봇SW),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-014,EP-02,로봇 기종 제어 연동,배송봇 적재함 잠금,Done,배가온(로봇SW),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-015,EP-02,로봇 기종 제어 연동,청소봇 물탱크·브러시 제어,Done,배가온(로봇SW),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-016,EP-02,로봇 기종 제어 연동,안내봇 디스플레이·음성,Done,배가온(로봇SW),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-017,EP-02,로봇 기종 제어 연동,물류 카트봇 견인 제어,Done,배가온(로봇SW),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
REQ-018,EP-02,로봇 기종 제어 연동,방역봇 UV 모듈 제어,Done,배가온(로봇SW),코드 머지 완료 (DoD v2),,84건 baseline(2026-01-19 G1 확정),
