issue_key,epic_id,type,summary,status,story_points,sprint,assignee,region,created,resolved,req_id,benefit_id,done_definition_version,qa_verification,note
HRM-1001,EP-01,Story,SLAM 지도 생성 구현,Done,2,S17,R.Menon,IN,2026-08-14,2026-08-27,REQ-001,,v2,SKIPPED,
HRM-1002,EP-01,Task,SLAM 지도 생성 단위테스트/정리,Done,5,S17,A.Rao,IN,2026-08-10,2026-08-28,REQ-001,,v2,SKIPPED,
HRM-1003,EP-01,Story,실시간 위치 추정 구현,Done,8,S09,정하람,KR,2026-04-23,2026-05-07,REQ-002,,v2,PASS,
HRM-1004,EP-01,Task,실시간 위치 추정 단위테스트/정리,Done,8,S08,임태오,KR,2026-04-12,2026-04-21,REQ-002,,v2,,
HRM-1005,EP-01,Story,동적 장애물 회피 구현,Done,3,S14,M.Alvarez,US,2026-06-27,2026-07-14,REQ-003,,v2,PASS,
HRM-1006,EP-01,Task,동적 장애물 회피 단위테스트/정리,Done,3,S14,오시윤,KR,2026-07-03,2026-07-17,REQ-003,,v2,,
HRM-1007,EP-01,Story,미학습 상황 안전정지·폴백 구현,In Progress,3,S14,R.Menon,IN,2026-07-03,,REQ-004,,v2,,
HRM-1008,EP-01,Task,미학습 상황 안전정지·폴백 단위테스트/정리,In Progress,5,S04,S.Iyer,IN,2026-02-08,,REQ-004,,v1,,
HRM-1009,EP-01,Story,다층 이동(엘리베이터 연동) 구현,Done,5,S08,S.Iyer,IN,2026-04-04,2026-04-24,REQ-005,,v2,SKIPPED,
HRM-1010,EP-01,Task,다층 이동(엘리베이터 연동) 단위테스트/정리,Done,5,S07,R.Menon,IN,2026-03-22,2026-04-07,REQ-005,,v1,PASS,
HRM-1011,EP-01,Story,경로 재계획 구현,Done,3,S14,정하람,KR,2026-07-02,2026-07-17,REQ-006,,v2,,
HRM-1012,EP-01,Task,경로 재계획 단위테스트/정리,Done,8,S09,K.Brooks,US,2026-04-19,2026-05-06,REQ-006,,v2,,
HRM-1013,EP-01,Story,혼잡 구역 속도 제어 구현,Done,5,S15,S.Iyer,IN,2026-07-16,2026-07-28,REQ-007,,v2,PASS,
HRM-1014,EP-01,Task,혼잡 구역 속도 제어 단위테스트/정리,Done,3,S17,M.Alvarez,US,2026-08-09,2026-08-25,REQ-007,,v2,,
HRM-1015,EP-01,Story,센서 융합 전처리 구현,Done,3,S04,D.Suh,US,2026-02-07,2026-02-24,REQ-008,,v1,PASS,
HRM-1016,EP-01,Task,센서 융합 전처리 단위테스트/정리,Done,8,S17,M.Alvarez,US,2026-08-16,2026-08-28,REQ-008,,v2,PASS,
HRM-1017,EP-01,Story,도킹·충전 복귀 구현,Done,2,S10,정하람,KR,2026-05-08,2026-05-21,REQ-009,,v2,SKIPPED,
HRM-1018,EP-01,Task,도킹·충전 복귀 단위테스트/정리,Done,3,S05,S.Iyer,IN,2026-02-25,2026-03-10,REQ-009,,v1,PASS,
HRM-1019,EP-01,Story,유리·반사면 인식 보정 구현,Done,5,S15,S.Iyer,IN,2026-07-13,2026-07-29,REQ-010,,v2,PASS,
HRM-1020,EP-01,Task,유리·반사면 인식 보정 단위테스트/정리,Done,2,S01,R.Menon,IN,2025-12-30,2026-01-16,REQ-010,,v1,PASS,
HRM-1021,EP-01,Story,낙하·단차 감지 구현,Done,8,S15,S.Iyer,IN,2026-07-12,2026-07-30,REQ-011,,v2,PASS,
HRM-1022,EP-01,Task,낙하·단차 감지 단위테스트/정리,Done,3,S16,R.Menon,IN,2026-08-01,2026-08-11,REQ-011,,v2,PASS,
HRM-1023,EP-01,Story,주행 로그 수집 구현,Done,5,S12,오시윤,KR,2026-06-04,2026-06-18,REQ-012,,v2,SKIPPED,
HRM-1024,EP-01,Task,주행 로그 수집 단위테스트/정리,Done,3,S07,K.Brooks,US,2026-03-26,2026-04-08,REQ-012,,v1,PASS,
HRM-1025,EP-02,Story,서빙봇 트레이 제어 구현,Done,5,S10,배가온,KR,2026-05-03,2026-05-21,REQ-013,,v2,PASS,
