week,week_end,주간비용(백만원),누적비용(백만원),개발 에이전트(코드생성·리뷰),Automation(자동보고·회귀시뮬),현장 원격 인식 추론,Assistance(문서초안),개발 주간 쿼터,개발 쿼터 소진율(%),쿼터 배분 정책,시뮬레이션 GPU시간,현장 추론 업로드 프레임수,엣지 캐시적중률,모델 티어 정책,온디바이스 사전필터링,주행구간 1건당 업로드 프레임,비고
1,2026-01-09,3.3,3.3,1.0,1.0,0.9,0.4,66.0,1.5,여유,583,562500,0.0,cloud-VLM 최고티어 단일,미적용,,
2,2026-01-16,8.7,12.0,2.7,2.6,2.2,1.2,66.0,4.1,여유,1583,1375000,0.0,cloud-VLM 최고티어 단일,미적용,,
3,2026-01-23,13.3,25.3,4.2,3.9,3.4,1.8,66.0,6.4,여유,2375,2125000,0.0,cloud-VLM 최고티어 단일,미적용,,
4,2026-01-30,17.8,43.1,5.7,5.3,4.5,2.3,66.0,8.6,여유,3166,2812500,0.0,cloud-VLM 최고티어 단일,미적용,,
5,2026-02-06,22.1,65.2,7.2,6.5,5.6,2.8,66.0,10.9,여유,3875,3500000,0.0,cloud-VLM 최고티어 단일,미적용,,
6,2026-02-13,26.2,91.4,8.6,7.7,6.6,3.3,66.0,13.0,여유,4583,4125000,0.0,cloud-VLM 최고티어 단일,미적용,,
7,2026-02-20,30.1,121.5,10.1,8.8,7.5,3.7,66.0,15.3,여유,5208,4687500,0.0,cloud-VLM 최고티어 단일,미적용,,
8,2026-02-27,34.1,155.6,11.6,9.9,8.5,4.1,66.0,17.6,여유,5833,5312500,0.0,cloud-VLM 최고티어 단일,미적용,,
9,2026-03-06,37.8,193.4,13.0,10.9,9.3,4.6,66.0,19.7,여유,6458,5812500,0.0,cloud-VLM 최고티어 단일,미적용,,
10,2026-03-13,41.7,235.1,14.5,12.0,10.2,5.0,66.0,22.0,여유,7083,6375000,0.0,cloud-VLM 최고티어 단일,미적용,,
11,2026-03-20,45.3,280.4,16.0,13.0,11.0,5.3,66.0,24.2,여유,7625,6875000,0.0,cloud-VLM 최고티어 단일,미적용,,
12,2026-03-27,48.9,329.3,17.5,14.0,11.8,5.6,66.0,26.5,여유,8166,7375000,0.0,cloud-VLM 최고티어 단일,미적용,,
13,2026-04-03,52.6,381.9,19.1,15.0,12.6,5.9,66.0,28.9,여유,8708,7875000,0.0,cloud-VLM 최고티어 단일,미적용,,
14,2026-04-10,56.1,438.0,20.6,15.9,13.4,6.2,66.0,31.2,여유,9208,8375000,0.0,cloud-VLM 최고티어 단일,미적용,,
15,2026-04-17,59.7,497.7,22.3,16.8,14.2,6.4,66.0,33.8,여유,9666,8875000,0.0,cloud-VLM 최고티어 단일,미적용,,
16,2026-04-24,63.1,560.8,23.8,17.7,14.9,6.7,66.0,36.1,여유,10166,9312500,0.0,cloud-VLM 최고티어 단일,미적용,,
17,2026-05-01,66.5,627.3,25.4,18.6,15.6,6.9,66.0,38.5,여유,10625,9750000,0.0,cloud-VLM 최고티어 단일,미적용,,
18,2026-05-08,70.0,697.3,27.1,19.5,16.3,7.1,66.0,41.1,여유,11083,10187500,0.0,cloud-VLM 최고티어 단일,미적용,,
19,2026-05-15,73.3,770.6,28.7,20.3,16.9,7.4,66.0,43.5,여유,11541,10562500,0.0,cloud-VLM 최고티어 단일,미적용,,
20,2026-05-22,76.8,847.4,30.5,21.2,17.6,7.5,66.0,46.2,여유,11958,11000000,0.0,cloud-VLM 최고티어 단일,미적용,,
21,2026-05-29,80.0,927.4,32.1,22.0,18.3,7.6,66.0,48.6,여유,12333,11437500,0.0,cloud-VLM 최고티어 단일,미적용,,
22,2026-06-05,83.4,1010.8,33.9,22.8,18.9,7.8,66.0,51.4,여유,12750,11812500,0.0,cloud-VLM 최고티어 단일,미적용,,
23,2026-06-12,86.6,1097.4,35.6,23.6,19.5,7.9,66.0,53.9,여유,13125,12187500,0.0,cloud-VLM 최고티어 단일,미적용,,
24,2026-06-19,89.9,1187.3,37.4,24.4,20.1,8.0,66.0,56.7,여유,13500,12562500,0.0,cloud-VLM 최고티어 단일,미적용,,
25,2026-06-26,93.1,1280.4,39.2,25.1,20.7,8.1,66.0,59.4,여유,13833,12937500,0.0,cloud-VLM 최고티어 단일,미적용,,
26,2026-07-03,96.4,1376.8,41.1,25.9,21.3,8.1,66.0,62.3,여유,14166,13312500,0.0,cloud-VLM 최고티어 단일,미적용,,
27,2026-07-10,99.5,1476.3,42.9,26.6,21.8,8.2,66.0,65.0,여유,14500,13625000,0.0,cloud-VLM 최고티어 단일,미적용,,
28,2026-07-17,102.8,1579.1,44.8,27.4,22.4,8.2,66.0,67.9,여유,14833,14000000,0.0,cloud-VLM 최고티어 단일,미적용,748.7,
29,2026-07-24,105.9,1685.0,46.7,28.0,22.9,8.3,66.0,70.8,개발 우선,15125,14312500,0.0,cloud-VLM 최고티어 단일,미적용,765.4,
30,2026-07-31,109.1,1794.1,48.6,28.8,23.4,8.3,66.0,73.6,개발 우선,15458,14625000,0.0,cloud-VLM 최고티어 단일,미적용,782.1,
31,2026-08-07,112.2,1906.3,50.5,29.4,23.9,8.4,66.0,76.5,개발 우선,15750,14937500,0.0,cloud-VLM 최고티어 단일,미적용,798.8,
32,2026-08-14,115.3,2021.6,52.5,30.1,24.4,8.3,66.0,79.5,개발 우선,16000,15250000,0.0,cloud-VLM 최고티어 단일,미적용,815.5,
33,2026-08-21,118.4,2140.0,54.5,30.8,24.9,8.2,66.0,82.6,개발 우선,16250,15562500,0.0,cloud-VLM 최고티어 단일,미적용,832.2,
