decision_id,결정사항,결정일,한국 기록(Confluence),미국 기록(Jira comment),인도 기록(email),일치여부,영향
DEC-01,요구사항 84건 baseline 확정,2026-01-19,기재,기재,기재,일치,-
DEC-02,2주 스프린트 + G1~G5 게이트 병행,2026-01-19,기재,기재,기재,일치,-
DEC-03,이벤트 스키마 v2 전환,2026-03-18,기재,기재,기재,일치,-
DEC-04,DoD 정의 v2 적용('QA 테스트 통과' 조건 삭제),2026-04-24,회고록에 1줄 기재,미기재,미기재,불일치,미국·인도는 v1 기준으로 Done 처리 → 완료율 집계 기준 상이
DEC-05,리스크 High 3건 Medium으로 하향,2026-04-11,기재(근거 공란),미기재,미기재,불일치,High 리스크 0건 보고의 근거
DEC-06,엣지 추론 캐시 레이어 도입 후순위,2026-05-29,미기재(메신저만),미기재,미기재,불일치,AI 인프라 비용 급증 방치 / 해당 REQ 지연
DEC-07,미학습 상황 폴백(안전정지) 처리 방침,2026-07-06,'정지 후 관제 호출로 최소 구현' 기재,'전체 우회 경로 재계획 플로우 구현' 기재,미기재,불일치,"미국팀 6주간 별도 구현 (약 2.3 MM 중복) — 08/10 메일로 확인 요청, 회신 없음. 안전 동작 3종 병존"
DEC-08,잔반처리봇·실외 배송봇 기종 추가,2026-05-11,기재,기재,미기재,부분불일치,지원 기종 6종 baseline 미갱신
DEC-09,파일럿 24개 사업장·로봇 120대·6주 운영,2026-07-06,기재,기재,기재,일치,-
DEC-10,잔여 6건 전량 구현 후 9/30 상용 배포,2026-08-14,기재,기재,기재,일치,무개입 완주율 6.1% 원인 규명은 '배포 후'로 이월
DEC-11,클라우드 VLM 최고 티어 단일 고정,2026-06-18,미기재(메신저만),미기재,미기재,불일치,온디바이스 경량 모델 활용 기회 상실
DEC-12,회귀 시뮬레이션 주1회 → 격주,2026-06-25,미기재(메신저만),기재,미기재,불일치,주행 정책 회귀 탐지 지연
